"0.000","Info","2020-08-03 17:28:45","Service 'cocc_96' : Execution start"
"0.000","Info","Apparatus","Zantiks AD internal Unit"
"0.000","Info","Unit ID","3C208A"
"TIME","TEMPERATURE","VARIABLE","TREATMENT","SERIES","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","ARENA_ACTIVITY","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4"
"3271.502",,"ARENA_DISTANCES","DARK",54,0,192,0,0,0,0,0,790,801,0,0,0,"ARENA_ACTIVITY",0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.010574,0.004318,0.000000,0.000000,0.000000
"3331.528",,"ARENA_DISTANCES","DARK",55,0,251,0,19,0,0,0,920,403,0,0,0,"ARENA_ACTIVITY",0.000000,0.000504,0.000000,0.205872,0.000000,0.000000,0.000000,0.025360,0.011765,0.000000,0.000000,0.000000
"3391.551",,"ARENA_DISTANCES","DARK",56,0,0,0,110,0,0,0,406,288,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,5.553909,0.000000,0.000000,0.000000,0.000168,0.001251,0.000000,0.000000,0.000000
"3451.572",,"ARENA_DISTANCES","DARK",57,0,0,0,470,0,0,0,446,365,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"3511.589",,"ARENA_DISTANCES","DARK",58,0,0,0,175,6,0,0,495,593,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000259,0.000000,0.000000,0.000000,0.000000,0.001480,0.000000,0.000000,0.000000
"3571.609",,"ARENA_DISTANCES","DARK",59,0,0,0,306,0,0,0,416,495,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000473,0.000000,0.000000,0.000000,0.000183,0.003189,0.000000,0.000000,0.000000
"3631.634",,"ARENA_DISTANCES","DARK",60,0,0,0,220,0,0,0,674,59,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,3.827042,0.000000,0.000000,0.000000,0.001785,0.000000,0.000000,0.000000,0.000000
"3691.657",,"ARENA_DISTANCES","DARK",61,0,0,0,599,0,0,0,832,0,0,6,98,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000015,0.000000,0.000000,0.000000,0.021988,0.000000,0.000000,0.000000,0.000381
"3751.675",,"ARENA_DISTANCES","DARK",62,0,0,0,456,0,0,0,838,0,0,6,166,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.002640,0.000015,0.000000,0.000000,0.017395,0.000000,0.000000,0.000000,0.015991
"3811.695",,"ARENA_DISTANCES","DARK",63,0,0,0,235,0,0,0,940,0,0,0,6,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000015,0.000000,0.000000,0.000000,0.025909,0.000000,0.000000,0.000000,0.000000
"3871.718",,"ARENA_DISTANCES","DARK",64,0,0,0,72,0,0,0,872,0,0,6,34,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.001511,0.000000,0.000000,0.000000,0.023682,0.000000,0.000000,0.000000,0.000000
